,dataset,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_time,std_time
0,breast_cancer,14,2,0.01,40,0.05,15,0.9240353982300885,0.008655138711199883,0.9547222112953634,0.014378477640424546,0.9283471798205524,0.015384786892571724,0.9403050567739261,0.00658457319353722,86.74705348014831,1.2638039819100257
0,breast_cancer,14,6,0.01,40,0.05,15,0.9204955752212389,0.0075742287001738535,0.9440224078194694,0.015430694060346544,0.932552602314823,0.01623773026185469,0.9369291860596515,0.0059562042926730755,86.7604311466217,1.2425930215114693
0,breast_cancer,14,10,0.01,40,0.05,15,0.9236814159292035,0.012162988450267885,0.9492189665153089,0.018570254139069545,0.9321085668991338,0.010128225315273921,0.9391888577093463,0.010308211788359662,86.846556930542,1.168935497040612
0,ionosphere,14,2,0.01,40,0.05,17,0.8630857142857145,0.012543345255715519,0.9810101684164401,0.0066211164614503,0.8352636797779688,0.013527536874733884,0.9012392316807213,0.008869579683723162,45.91988408088684,0.6234665342319956
0,ionosphere,14,6,0.01,40,0.05,17,0.8622857142857143,0.006998542122237679,0.9805956659852029,0.007250377223395359,0.8342334388601971,0.009522839358434423,0.900461168953725,0.004785208153557227,46.10319716453552,0.655435729694105
0,ionosphere,14,10,0.01,40,0.05,17,0.8609142857142857,0.014916803290523167,0.9810452202171988,0.005621407715823058,0.8327784816020788,0.016752715204394603,0.8999337892841832,0.009897218740301913,45.792038669586184,0.9607562538925827
0,biodegrataion,14,2,0.01,40,0.05,20,0.7940473933649289,0.009412164772955223,0.5851270935766213,0.05060678163506917,0.7669479399789191,0.02901519331177603,0.6483843428871172,0.026764262537645772,147.69305871009826,1.9932058224751559
0,biodegrataion,14,6,0.01,40,0.05,20,0.8147488151658768,0.008002964343763498,0.6497021284108524,0.04154197079478228,0.7767217389545141,0.024338477556582673,0.6977363071142437,0.02099842922400341,157.9139412879944,2.044595708123174
0,biodegrataion,14,10,0.01,40,0.05,20,0.811867298578199,0.013311027064880403,0.6338995538265414,0.059475804788820225,0.7836972542811789,0.02409160501666066,0.6869687666280919,0.03749480416912747,156.26609600067138,2.0310583503859374
