,dataset,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_time,std_time
0,breast_cancer,14,6,0.1,40,0.05,15,0.9218407079646017,0.009715895309328799,0.9498913873319594,0.016557105588091862,0.9293681479165525,0.017276306001518325,0.93799157917938,0.007380718998003279,88.47659537315369,1.453480211715079
0,breast_cancer,14,6,0.01,40,0.05,15,0.9237522123893805,0.0058790908296005,0.9471202425773195,0.01245888443782432,0.9338484647410884,0.009780767986699159,0.939182104441188,0.004781154323569465,91.25965354919434,2.928468416713473
0,breast_cancer,14,6,0.001,40,0.05,15,0.9209911504424779,0.00910608718771738,0.9433713201856095,0.015140328301895751,0.933594002103418,0.012912107926136345,0.9369961127576997,0.007448986236870444,92.4608540725708,3.5277737982104997
0,ionosphere,14,6,0.1,40,0.05,17,0.8641142857142856,0.009965819134441918,0.9808640237627128,0.007928802894542513,0.8365437456700624,0.01125775857938587,0.9019962888170241,0.006626967585628491,49.045570068359375,2.17918703807129
0,ionosphere,14,6,0.01,40,0.05,17,0.8681142857142858,0.009308499517393046,0.9811080473164313,0.007025646031463379,0.8402087302211848,0.010303606262710242,0.9040122169135099,0.006495464975834346,47.56252174377441,0.7064106086953342
0,ionosphere,14,6,0.001,40,0.05,17,0.8646857142857144,0.012332270592197695,0.9821350656229062,0.007266230443017598,0.8362630360604936,0.012328171194705107,0.9020994488171077,0.00861276251255893,46.797614364624025,0.9236159395343645
0,biodegrataion,14,6,0.1,40,0.05,20,0.8021990521327014,0.00851064495024082,0.63394421888286,0.05063103453913382,0.7547149258410686,0.024048386913183215,0.6777846275724762,0.024855622886452627,144.61947754859924,2.1091744281825466
0,biodegrataion,14,6,0.01,40,0.05,20,0.8120189573459716,0.00763828145531867,0.6233430279636046,0.048038350232773946,0.7875454216832293,0.029038110252954396,0.6858248539632917,0.024258688757845585,162.01193767547608,2.4891634183338214
0,biodegrataion,14,6,0.001,40,0.05,20,0.8128530805687203,0.008823132515887738,0.6198474870403996,0.03998760645997327,0.7918450930079786,0.01976211364613542,0.6847957976755241,0.02225945857106191,158.99781713485717,2.1063376340120996
