,dataset,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_time,std_time
0,breast_cancer,14,6,0.01,40,0.05,0,0.7820176991150443,0.04607941402852252,0.9946991628923796,0.006208427297774231,0.7535920799685719,0.04443621644608451,0.8541395154663772,0.0272743783092092,61.96178586959839,0.39030271170142633
0,breast_cancer,14,6,0.01,40,0.05,8,0.9195044247787613,0.008858331933234445,0.9448892773722335,0.01637743676620344,0.9302468899212001,0.013968799005394602,0.9359835550847699,0.0072669084709622595,55.52021108627319,0.5320981933631834
0,breast_cancer,14,6,0.01,40,0.05,16,0.9175221238938053,0.006048852209074335,0.9463006680028114,0.015686616547841332,0.9260410958880915,0.011427836459014875,0.934643816835041,0.005351429035618,89.40101570129394,1.238220495434446
0,breast_cancer,14,6,0.01,40,0.05,24,0.9259469026548673,0.006784650506597343,0.9509913717425333,0.011216806701127794,0.933834963388447,0.014064846829537138,0.941347408802589,0.004936207100199094,159.695064496994,1.7450274902128455
0,ionosphere,14,6,0.01,40,0.05,0,0.7704000000000001,0.009860413536056233,0.9926505445266501,0.004238997132516592,0.7390780912529736,0.008444990520606986,0.8461755568626552,0.005663530726139059,21.757008476257326,0.05235762864797049
0,ionosphere,14,6,0.01,40,0.05,8,0.8332571428571428,0.012977342893344092,0.9859323494969268,0.006805239295720388,0.8000988035591063,0.014010226625909545,0.8820307883202214,0.00860624700805916,30.53544008255005,0.4437987767413726
0,ionosphere,14,6,0.01,40,0.05,16,0.8646857142857144,0.010958325508908037,0.9829398399478833,0.005280635940659826,0.8348209400689034,0.011443823805898245,0.9019748509306886,0.007321315045245084,43.84094585418701,0.720616031478375
0,ionosphere,14,6,0.01,40,0.05,24,0.8747428571428573,0.008540133345037481,0.9800810795494833,0.007463394379489251,0.8487215636099589,0.009634391927327431,0.908399159482102,0.00606028064304173,57.75816996574402,1.1429094272194034
0,ionosphere,14,6,0.01,40,0.05,32,0.8784000000000001,0.011600985179839577,0.9780907099390097,0.006681867533157534,0.8553088596286925,0.01225656938957647,0.9111047961540393,0.008057642403555764,72.14135982513427,2.064615368566273
0,biodegrataion,14,6,0.01,40,0.05,0,0.6625592417061611,4.4408920985006264e-17,0.0,0.0,0.0,0.0,0.0,0.0,73.24889769554139,0.36922607091618964
0,biodegrataion,14,6,0.01,40,0.05,8,0.8015545023696683,0.013407226938962936,0.5808475711911999,0.05821066205020971,0.789372599561684,0.023628048543238824,0.6537889486038644,0.04130075430454292,61.344692068099974,1.2471590077435633
0,biodegrataion,14,6,0.01,40,0.05,16,0.8059526066350711,0.012225709852684835,0.5939814367424212,0.06322573295531159,0.7955225558011637,0.034804608592279636,0.6651601152440327,0.03662363752617493,135.73024487495422,1.816046836629174
0,biodegrataion,14,6,0.01,40,0.05,24,0.8138767772511849,0.010659626466077843,0.6397298492406585,0.05324134516973312,0.7783734679724402,0.02431339839517771,0.6924428019326235,0.02993846403015756,174.50109444618226,2.2681410480814996
0,biodegrataion,14,6,0.01,40,0.05,32,0.8106161137440759,0.008219709341679163,0.6412594424547666,0.04236001923757945,0.7760566321545964,0.02731413754167996,0.6888722385404723,0.021536965894184107,211.80849358558655,3.565204293361473
0,biodegrataion,14,6,0.01,40,0.05,40,0.8083791469194312,0.007782585080415464,0.6371928192109219,0.04924805439977093,0.7710379639094684,0.03039641796983327,0.6839415594899839,0.024190979921075727,253.59822298049926,2.579559999300104
