,dataset,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_time,std_time
0,breast_cancer,14,6,0.01,40,0.005,15,0.9260176991150442,0.008685199395671013,0.9533422582082092,0.014540312851831112,0.931865216262369,0.013056217492037635,0.9414360547558034,0.00718366438723939,91.37241967201233,1.1060315899473157
0,breast_cancer,14,6,0.01,40,0.05,15,0.9202123893805308,0.0069891562071132994,0.9448781765779874,0.012457439817407845,0.9308519967586837,0.01096677883231277,0.9367198173955292,0.005809197905769324,91.64335035324096,1.4178990049839235
0,breast_cancer,14,6,0.01,40,0.5,15,0.9139823008849558,0.017392026189788676,0.9319470071725924,0.02923150492717926,0.9332737636258502,0.016721555434251117,0.9289224450584465,0.023532310530219924,93.1686838054657,1.7867857198577752
0,breast_cancer,14,6,0.01,40,5.0,15,0.9151150442477877,0.009726207236779456,0.9408260028529143,0.0221527010838067,0.9280893178897557,0.016620496303269047,0.9322392330258771,0.00860493385140737,87.09790505409241,1.7765508900238811
0,ionosphere,14,6,0.01,40,0.005,17,0.8685714285714287,0.013376799897965327,0.9820373195123006,0.006002757373325083,0.8414361882878504,0.013189245690670861,0.9050562494497365,0.00920485559023526,46.00089299201965,0.5946332813552565
0,ionosphere,14,6,0.01,40,0.05,17,0.8619428571428571,0.010833658812483712,0.9801896324662442,0.008100886003370791,0.8340798150334912,0.011387627813910098,0.9001881774560268,0.00785408485812773,45.88594289779663,0.8298671433503002
0,ionosphere,14,6,0.01,40,0.5,17,0.8632,0.010730692200507883,0.9838625389121204,0.00536089771050273,0.833326911571019,0.011832647017946325,0.9016909373953239,0.007064512080686059,45.337556800842286,0.6878237437093422
0,ionosphere,14,6,0.01,40,5.0,17,0.8411428571428572,0.011959114020832209,0.9922656895192352,0.00517212304408029,0.8059585851513424,0.01246890788157909,0.8886600543255276,0.007950397173853315,46.17080171585083,0.7953811739105588
0,biodegrataion,14,6,0.01,40,0.005,20,0.8222938388625591,0.009372370740820342,0.6584030887757895,0.047205964310166985,0.7888711344262971,0.018619164640967613,0.7091961812025726,0.02572769640449506,164.6910578727722,2.269584923521248
0,biodegrataion,14,6,0.01,40,0.05,20,0.8104265402843602,0.009321926713284731,0.6283314823297169,0.04655499379124113,0.7816929271004878,0.024347787013321916,0.685345825923426,0.02552057660001591,163.15872740745544,1.8064689285143607
0,biodegrataion,14,6,0.01,40,0.5,20,0.7939336492890996,0.010565213113245707,0.5321243719402379,0.05054854713513693,0.8065334771916567,0.0292860527879045,0.6219107477272455,0.0372303663163982,165.24740435600282,1.4835037964534823
0,biodegrataion,14,6,0.01,40,5.0,20,0.7601516587677725,0.018501592711524684,0.36615434727724583,0.08320452942843667,0.7981899215634013,0.10155041285835227,0.47544608863132376,0.0845737858349588,166.0127233505249,1.8461477406966638
